Gmt time,Open,High,Low,Close,Volume
21.03.2006 22:00:00.000,1.20913,1.21132,1.20654,1.20773,1086242000000
22.03.2006 22:00:00.000,1.20756,1.20799,1.19550,1.19693,1080775908203.13
23.03.2006 22:00:00.000,1.19678,1.20461,1.19492,1.20378,1085513701171.88
26.03.2006 22:00:00.000,1.20353,1.20575,1.20048,1.20152,1066442107421.88
27.03.2006 22:00:00.000,1.20138,1.21066,1.19924,1.19994,1079681201171.88
28.03.2006 22:00:00.000,1.19993,1.20489,1.19816,1.20238,1089526195312.5
29.03.2006 22:00:00.000,1.20203,1.21722,1.20184,1.21667,1081868011718.75
30.03.2006 22:00:00.000,1.21661,1.21748,1.20853,1.21158,1082891304687.5
31.03.2006 22:00:00.000,1.21158,1.21158,1.21144,1.21144,0
02.04.2006 21:00:00.000,1.21145,1.21482,1.20342,1.21378,1083196498046.88
03.04.2006 21:00:00.000,1.21396,1.22749,1.21204,1.22558,1085121697265.63
04.04.2006 21:00:00.000,1.22583,1.23058,1.22424,1.22877,1080975197265.63
05.04.2006 21:00:00.000,1.22889,1.23304,1.21988,1.22258,1089123308593.75
06.04.2006 21:00:00.000,1.22293,1.22315,1.20905,1.20940,1079415312500
09.04.2006 21:00:00.000,1.20954,1.21288,1.20771,1.21095,1083599000000
10.04.2006 21:00:00.000,1.21081,1.21535,1.20897,1.21435,1081955791015.63
11.04.2006 21:00:00.000,1.21427,1.21671,1.20669,1.21050,1081898607421.88
12.04.2006 21:00:00.000,1.21041,1.21322,1.20700,1.21095,1076281404296.88
13.04.2006 21:00:00.000,1.21095,1.21172,1.20974,1.21086,1073941007812.5
16.04.2006 21:00:00.000,1.21212,1.22877,1.21126,1.22503,1074566402343.75
17.04.2006 21:00:00.000,1.22510,1.23565,1.22247,1.23420,1070232496093.75
18.04.2006 21:00:00.000,1.23470,1.23938,1.22871,1.23798,1081186396484.38
19.04.2006 21:00:00.000,1.23825,1.23831,1.22875,1.23145,1077885099609.38
20.04.2006 21:00:00.000,1.23148,1.23574,1.22697,1.23430,1082635894531.25
23.04.2006 21:00:00.000,1.23585,1.24138,1.23333,1.23912,1090473498046.88
24.04.2006 21:00:00.000,1.23922,1.24386,1.23657,1.24297,1087847789062.5
25.04.2006 21:00:00.000,1.24328,1.24705,1.23867,1.24530,1080288699218.75
26.04.2006 21:00:00.000,1.24507,1.25473,1.24062,1.25320,1077201910156.25
27.04.2006 21:00:00.000,1.25329,1.26402,1.25143,1.26350,1094100201171.88
30.04.2006 21:00:00.000,1.26290,1.26883,1.25558,1.25844,1082270201171.88
01.05.2006 21:00:00.000,1.25848,1.26668,1.25588,1.26146,1080714998046.88
02.05.2006 21:00:00.000,1.26128,1.26686,1.25927,1.26320,1085520494140.63
