id,pair,mode,ind,p1,p2,p3,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p_adj
0,AUDJPY,Normal,DPV,50,0.35000000000000003,0,436,0.22058725397142492,0.5030687314555136,1.2834669e-05,0.22058723776245467,0.0,2.0524740145244635e-06,436,4.648909721422897e-06
1,AUDJPY,Normal,DPV,50,0.4,0,277,0.13821390377540088,0.5059193488716242,1.0354829e-05,0.13821390355061375,0.0,0.010714544654339409,277,0.012254975483001371
2,AUDJPY,Normal,DPV,50,0.45,0,159,0.21567114798070317,0.5079971833819535,2.3191496e-05,0.21567112017277457,0.0,0.003268942338877978,159,0.004143659325580801
3,AUDJPY,Normal,DPV,100,0.1,0,756,0.24908750866316365,0.5041800096352764,8.136375e-06,0.24908747995857605,0.0,3.724243136105088e-12,756,1.64223274459102e-11
4,AUDJPY,Normal,DPV,100,0.15000000000000002,0,553,0.20726506858452504,0.50382193845881,7.5872904e-06,0.20726502697879357,0.0,5.467095967048863e-07,553,1.3488757609177105e-06
5,AUDJPY,Normal,DPV,100,0.2,0,405,0.19404102098680026,0.5036831991215227,8.363006e-06,0.19404101034950524,0.0,4.71126913660358e-05,405,8.490526335313842e-05
6,AUDJPY,Normal,DPV,100,0.25,0,278,0.46409315455990413,0.5055813042626803,2.3905934e-05,0.46409316860393024,8.413018397416011e-254,4.9960036108132044e-15,278,3.340070155938828e-14
7,AUDJPY,Normal,DPV,100,0.3,0,177,0.22486040202630544,0.5054781355117732,1.4493145e-05,0.22486037648033347,0.0,0.0013877220564292303,177,0.001868445886348961
8,AUDJPY,Normal,DPV,100,0.35000000000000003,0,103,0.37911938059256667,0.5083487940630798,3.4578454e-05,0.379119355143401,5.9062021344700814e-111,5.9630265482613076e-05,103,0.00010562711556642359
9,AUDJPY,Normal,DPV,150,0.05,0,708,0.23660375825829671,0.5053984700300184,6.9759685e-06,0.23660376722040566,0.0,1.5308998513319239e-10,708,5.795050122165137e-10
10,AUDJPY,Normal,DPV,150,0.15000000000000002,0,324,0.18553865812981077,0.506017035242635,7.147814e-06,0.18553869666200826,0.0,0.00041934990569048036,324,0.0006390460878996475
11,AUDJPY,Normal,DPV,150,0.2,0,223,0.23600606925796025,0.5063132346123429,1.0796576e-05,0.23600609201340994,0.0,0.0002122835646384269,223,0.00033520585730524935
12,AUDJPY,Normal,DPV,150,0.25,0,139,0.16444452235768386,0.50471075107863,9.739974e-06,0.16444451724278217,0.0,0.026264537356470052,139,0.02809458254001764
13,AUDJPY,Normal,DPV,200,0.05,0,480,0.18863194730236763,0.5051283315663602,5.6809276e-06,0.18863198454106497,0.0,1.7924789367240734e-05,480,3.480011799869454e-05
14,AUDJPY,Normal,DPV,200,0.1,0,326,0.11828751978000572,0.5045337789744065,4.0380733e-06,0.11828752477479482,0.0,0.01635043388436075,326,0.017952992967066306
15,AUDJPY,Normal,DPV,200,0.15000000000000002,0,219,0.15543520958936005,0.5061682704169751,6.191954e-06,0.15543522621280237,0.0,0.010717559982118208,219,0.012254975483001371
16,AUDJPY,Normal,DPV,200,0.2,0,139,0.1962926557035229,0.508552090002744,9.367896e-06,0.19629268578245312,0.0,0.010326824509721666,139,0.011890190997998974
17,AUDJPY,Normal,DPV,250,0.05,0,371,0.4111864514694484,0.5062994178469025,1.24126655e-05,0.4111865276102597,0.0,1.2212453270876722e-15,371,8.653097232099832e-15
18,AUDJPY,Normal,DPV,250,0.1,0,247,0.3708538020814158,0.5074283190865218,1.2596092e-05,0.37085384454476394,0.0,2.7976354566305872e-09,247,8.784999217980139e-09
19,AUDJPY,Normal,DPV,250,0.15000000000000002,0,159,0.124740340948273,0.5087872312589944,4.8389793e-06,0.1247403727322682,0.0,0.057869105781667596,159,0.05944670222181219
20,AUDJPY,Normal,DPV,300,0.05,0,305,0.3933894131667648,0.5077654279405711,1.1598837e-05,0.3933894301337941,0.0,3.2044367159755893e-12,305,1.4282139986794427e-11
21,AUDJPY,Normal,DPV,300,0.1,0,181,0.1798372260524987,0.5086746673623793,5.886202e-06,0.1798372250141294,0.0,0.007771733463836306,181,0.009217120231073387
22,AUDJPY,Normal,DPV,300,0.15000000000000002,0,126,0.23611713637242365,0.5117762625678955,9.410656e-06,0.23611716023080306,1.9922259689585375e-258,0.004019724427363758,126,0.005003530856283116
23,AUDJPY,Normal,Hurst,400,0.55,20,3096,0.12753493056840548,0.4923827784556388,6.610374e-06,0.12753488638225824,0.0,6.409317521161029e-13,3096,3.1592276460888117e-12
24,AUDJPY,Normal,VR-MR,300,0.21000000000000002,2,422,0.12872513949822204,0.44319167389418906,4.17103e-05,0.12872513062779434,0.0,0.004092352363117224,422,0.005086297015028754
25,AUDJPY,Normal,VR-MR,300,0.22,2,352,0.1137591089418299,0.4346917450365726,4.1338262e-05,0.11375911384811133,0.0,0.01640870000421446,352,0.017993137967584377
26,AUDJPY,Normal,VR-MR,300,0.24000000000000002,2,172,0.11401182421258069,0.4146341463414634,6.0987e-05,0.11401185107966871,0.0,0.06742442062545362,172,0.06875134649262121
27,AUDJPY,Normal,VR-MR,400,0.2,2,294,0.23589528169494461,0.4548919949174079,0.00010930706,0.23589527729374157,0.0,2.618821580879782e-05,294,4.945337336103279e-05
28,AUDJPY,Normal,VR-MR,400,0.21000000000000002,2,240,0.32776930056118975,0.4660347551342812,0.00016929631,0.32776929882146427,0.0,1.9093510561507543e-07,240,4.993224055359544e-07
29,AUDJPY,Normal,VR-MR,400,0.22,2,180,0.24423662569039586,0.4581589958158996,0.00015335534,0.24423660181905368,0.0,0.0005249947031037427,180,0.0007785699622057294
30,AUDJPY,Normal,VR-MR,400,0.23,2,111,0.11388272015038556,0.4482758620689655,9.527754e-05,0.11388273020287865,0.0,0.11510287675463782,111,0.1156609513085997
31,AUDJPY,Normal,VR-MR,500,0.18000000000000002,2,449,0.11352670185739296,0.4570957095709571,3.6972593e-05,0.11352670170198333,0.0,0.008073238401980931,449,0.009533781531684033
32,AUDJPY,Normal,VR-MR,500,0.19,2,341,0.30119679437801833,0.4660831509846827,0.00011406811,0.3011968343940052,0.0,1.3338335325130402e-08,341,3.949099994476108e-08
33,AUDJPY,Normal,VR-MR,500,0.2,2,213,0.4774986253958477,0.4740608228980322,0.00027453178,0.47749867149714603,0.0,1.5976109324356003e-12,213,7.440558780837712e-12
34,AUDJPY,Normal,VR-MR,500,0.21000000000000002,2,186,0.5481966108934422,0.4773662551440329,0.00033426407,0.5481966881614954,0.0,3.8191672047105385e-14,186,2.2614925805035974e-13
35,AUDJPY,Normal,VR-MR,500,0.22,2,140,0.2797678234078869,0.46174863387978143,0.00020920261,0.279767802587389,0.0,0.00046605126104926065,140,0.0007033772970185166
